2025-05-26,08:53:13,"El usuario root creado exitosamente"
2025-05-26,08:53:57,"El usuario: root se logeo correctamente"
2025-05-26,08:54:56,"El usuario root Ha creado un directorio nuevo con nombre carpeta1 ubicado en /"
2025-05-26,08:55:33,"El usuario root ha creado el archivo de texto p1.txt ubicado en /carpeta1"
2025-05-26,08:55:46,"El usuario root ha escrito lo siguiente en el archivo p1.txt ubicado en /carpeta1: holaaa mundo"
2025-05-26,08:55:52,"El usuario root ha leido el archivo p1.txt ubicado en /carpeta1"
2025-05-26,08:56:12,"El usuario root ha modificado los permisos del archivo p1.txt ubicado en /carpeta1: rw > r"
2025-05-26,08:56:30,"El usuario root ha INTENTADO escribir en el archivo p1.txt ubicado en /carpeta1 pero NO TIENE PERMISOS"
2025-05-26,08:57:21,"El usuario: rootCerro secion correctamente"
2025-05-26,08:57:41,"El usuario: prueba se logeo correctamente"
2025-05-26,08:58:13,"El usuario prueba ha INTENTADO modificar los permisos del archivo p1.txt ubicado en /carpeta1 pero NO TIENE PERMISOS"
2025-05-26,09:00:12,"El usuario: pruebaCerro secion correctamente"
